id,date,text,views,forwards,replies,reactions
20986,2025-09-16 12:46:53+00:00,"Уход для деликатной зоны Saforelle стал любимым после первого применения🩶

Этот бренд — № 1 во Франции в категории средств для интимной гигиены! Все благодаря мягким формулам с естественным уровнем pH, без мыла и раздражающих веществ. Формулы Saforelle разработаны на основе природных компонентов, они успокаивают, смягчают и идеально подходят для чувствительной кожи. 

В Золотом Яблоке можно купить:

➕ гель Экстра Свежесть для  интимной гигиены на каждый день — бережно очищает, не сушит кожу, устраняет неприятные запахи и дарит ощущение свежести сразу после применения

➕ увлажняющий крем для интимного ухода после душа или эпиляции — легкий, успокаивает и смягчает кожу, быстро впитывается, не оставляет следов на белье

➕ детский гель Miss с мягким составом для чувствительной кожи малышей — можно использовать с 2 лет, подходит для купания и ухода за интимной зоной 

Реклама",68537,72,17,"{""ReactionEmoji(emoticon='❤')"": 394, 'ReactionCustomEmoji(document_id=5294214784856649592)': 211, ""ReactionEmoji(emoticon='👍')"": 109, ""ReactionEmoji(emoticon='🔥')"": 49, ""ReactionEmoji(emoticon='😁')"": 11, ""ReactionEmoji(emoticon='😍')"": 11, ""ReactionEmoji(emoticon='😇')"": 8, ""ReactionEmoji(emoticon='⚡')"": 6}"
20985,2025-09-16 09:59:18+00:00,,84587,63,0,{}
20984,2025-09-16 09:59:18+00:00,"Два новых средства Make Up For Ever уже в наличии🔥

Любимая палетка Хейли Бибер есть в наших косметичках — пора добавить к ней и эти два будущих хита:

➖ Тональный тинт — мастхэв для повседневного макияжа. Дарит легкое сияющее покрытие, увлажнение и ровный тон за счет гиалуроновой кислоты

➖ Блеск для губ — вау-находка, с которой не нужно выбирать между блеском и увлажнением. Остается определиться с оттенком, ведь их целых 11: от молочного до рубинового

Реклама",86392,61,33,"{""ReactionEmoji(emoticon='❤')"": 468, 'ReactionCustomEmoji(document_id=5294214784856649592)': 243, ""ReactionEmoji(emoticon='😍')"": 111, ""ReactionEmoji(emoticon='🔥')"": 57, ""ReactionEmoji(emoticon='👍')"": 24, ""ReactionEmoji(emoticon='😇')"": 11, ""ReactionEmoji(emoticon='⚡')"": 7, ""ReactionEmoji(emoticon='😁')"": 7}"
20982,2025-09-16 06:46:00+00:00,,89049,241,0,{}
20981,2025-09-16 06:46:00+00:00,"Девочки, мы в тренде❤️‍🔥

В Тиктоке завирусилась новая эстетика, которая олицетворяет нас. Не смогли обойти стороной и подобрали продукты, вдохновившись. Ссылки оставляем в комментариях.

Фото: Pinterest",91915,260,77,"{""ReactionEmoji(emoticon='❤')"": 937, ""ReactionEmoji(emoticon='🔥')"": 396, 'ReactionCustomEmoji(document_id=5294214784856649592)': 346, ""ReactionEmoji(emoticon='😇')"": 51, ""ReactionEmoji(emoticon='😁')"": 30, ""ReactionEmoji(emoticon='👍')"": 21, ""ReactionEmoji(emoticon='⚡')"": 9, ""ReactionEmoji(emoticon='😍')"": 8}"
20980,2025-09-15 15:43:31+00:00,,95369,20,44,"{'ReactionCustomEmoji(document_id=5294214784856649592)': 575, ""ReactionEmoji(emoticon='❤')"": 278, ""ReactionEmoji(emoticon='😁')"": 98, ""ReactionEmoji(emoticon='🔥')"": 88, ""ReactionEmoji(emoticon='😍')"": 29, ""ReactionEmoji(emoticon='👍')"": 19, ""ReactionEmoji(emoticon='😇')"": 4, ""ReactionEmoji(emoticon='⚡')"": 3}"
20979,2025-09-15 15:43:13+00:00,,83543,150,0,{}
20978,2025-09-15 15:43:13+00:00,,83571,150,0,{}
20977,2025-09-15 15:43:13+00:00,,82755,150,0,{}
20976,2025-09-15 15:43:13+00:00,"Екатеринбург! Мы открыли целых три пункта выдачи заказов Золотого Яблока💛

Записывайте адреса, чтобы построить маршрут и забрать лаймовый заказ: 

📍 ул. 8 Марта, д. 167 
📍 ул. Радищева, д. 27
📍 ул. Вильгельма де Геннина, д. 33 

Также наши пункты выдачи заказов есть в Москве, Санкт-Петербурге и Тюмени. Подробности можно узнать  здесь.",82662,150,92,"{""ReactionEmoji(emoticon='❤')"": 544, 'ReactionCustomEmoji(document_id=5294214784856649592)': 361, ""ReactionEmoji(emoticon='🔥')"": 149, ""ReactionEmoji(emoticon='😍')"": 38, ""ReactionEmoji(emoticon='👍')"": 27, ""ReactionEmoji(emoticon='😁')"": 12, ""ReactionEmoji(emoticon='⚡')"": 8, ""ReactionEmoji(emoticon='😇')"": 6}"
20975,2025-09-15 15:42:51+00:00,,68095,3,0,"{""ReactionEmoji(emoticon='❤')"": 340, 'ReactionCustomEmoji(document_id=5294214784856649592)': 230, ""ReactionEmoji(emoticon='🔥')"": 83, ""ReactionEmoji(emoticon='😍')"": 44, ""ReactionEmoji(emoticon='👍')"": 15, ""ReactionEmoji(emoticon='⚡')"": 10, ""ReactionEmoji(emoticon='😇')"": 8, ""ReactionEmoji(emoticon='😁')"": 5}"
20974,2025-09-15 14:35:10+00:00,,85728,87,0,{}
20973,2025-09-15 14:35:10+00:00,"Знакомимся с легендарной линейкой Davines❤️‍🔥 Кто еще не видел эти стильные баночки с восточными мотивами — гамма Energizing против выпадения волос.

➖ Шампунь для хрупких и ослабленных волос. Этот хит стимулирует микроциркуляцию и укрепляет корни. Для интенсивного восстановления его можно использовать через день, для поддержания здоровья локонов — 2 раза в неделю в течение пары месяцев. 

➖ Лосьон против выпадения волос. Укрепляет, увеличивает густоту и плотность локонов. Если у вас начинается волосопад из-за стресса — это мастхэв. 

➖ Энергетический несмываемый гель. Поддержит силу и упругость кожи головы и волос. В составе есть фитоактив кофеина, экстракт зеленого чая и витамин B3.

Еще один повод попробовать хиты Davines: секретный промокод DAVINES10 на доп. скидку −10% при онлайн-заказе до 19.09 включительно!

Реклама",86893,88,26,"{""ReactionEmoji(emoticon='❤')"": 478, 'ReactionCustomEmoji(document_id=5294214784856649592)': 222, ""ReactionEmoji(emoticon='🔥')"": 131, ""ReactionEmoji(emoticon='😁')"": 26, ""ReactionEmoji(emoticon='👍')"": 21, ""ReactionEmoji(emoticon='😇')"": 8, ""ReactionEmoji(emoticon='😍')"": 7, ""ReactionEmoji(emoticon='⚡')"": 5}"
20972,2025-09-15 13:03:18+00:00,"Уже в 16:00 (мск) Лиза Кирова из креативного отдела — настоящий бьюти-фанат и всегда в курсе трендов. На стриме она покажет, что в её косметичке, и поделится бьюти-находками! Подключайтесь!",87566,15,0,"{""ReactionEmoji(emoticon='❤')"": 472, 'ReactionCustomEmoji(document_id=5294214784856649592)': 157, ""ReactionEmoji(emoticon='😍')"": 127, ""ReactionEmoji(emoticon='⚡')"": 76, ""ReactionEmoji(emoticon='👍')"": 34, ""ReactionEmoji(emoticon='🔥')"": 15, ""ReactionEmoji(emoticon='😁')"": 9, ""ReactionEmoji(emoticon='😇')"": 1}"
20971,2025-09-15 12:56:57+00:00,"В прямом эфире визажист Вера Фурсова рассказывает о том, как выбрать идеальный оттенок красной помады и как наносить ее так, словно модели Tom Ford! Смотри по ссылке⚡️",86565,1,11,"{'ReactionCustomEmoji(document_id=5294214784856649592)': 355, ""ReactionEmoji(emoticon='❤')"": 217, ""ReactionEmoji(emoticon='😍')"": 69, ""ReactionEmoji(emoticon='🔥')"": 41, ""ReactionEmoji(emoticon='👍')"": 22, ""ReactionEmoji(emoticon='😁')"": 12, ""ReactionEmoji(emoticon='⚡')"": 11, ""ReactionEmoji(emoticon='😇')"": 2}"
20969,2025-09-15 12:10:43+00:00,"+1 000 бонусов на карту лояльности💚
Решили сделать сюрприз и начисляем их всем-всем!
 
Бонусы придут сегодня в течение дня (по мск), начисление может пройти частями. Добавляйте в корзину всё для осенних мейков, восстанавливающий уход для лица, тела и волос, давно отложенный бьюти-гаджет, классное украшение или сумочку — используйте бонусы по полной. 

Бонусы можно потратить в магазинах и онлайн при покупке от 8 000 ₽ до 21 сентября включительно, потом они сгорят. Все подробности здесь.",115631,4601,443,"{""ReactionEmoji(emoticon='❤')"": 1228, ""ReactionEmoji(emoticon='🔥')"": 465, 'ReactionCustomEmoji(document_id=5294214784856649592)': 325, ""ReactionEmoji(emoticon='😍')"": 192, ""ReactionEmoji(emoticon='😁')"": 84, ""ReactionEmoji(emoticon='👍')"": 39, ""ReactionEmoji(emoticon='⚡')"": 22, ""ReactionEmoji(emoticon='😇')"": 17}"
20966,2025-09-15 05:12:57+00:00,"Решили сделать этот понедельник чуть приятнее, поэтому приготовили кое-что для вас🎁

Рассказываем?",99526,46,315,"{""ReactionEmoji(emoticon='❤')"": 1760, 'ReactionCustomEmoji(document_id=5294214784856649592)': 1407, ""ReactionEmoji(emoticon='😍')"": 401, ""ReactionEmoji(emoticon='⚡')"": 118, ""ReactionEmoji(emoticon='👍')"": 81, ""ReactionEmoji(emoticon='🔥')"": 38, ""ReactionEmoji(emoticon='😇')"": 22, ""ReactionEmoji(emoticon='😁')"": 16}"
20965,2025-09-14 17:02:16+00:00,"Скорее показывайте в комментариях, как прошла ваша неделя! Что классного купили? Сделали новый маникюр? Или попрактиковались в необычном макияже?

А потом устраивайтесь поудобнее и читайте новый выпуск Flacon Magazine: в нем рассказываем об ароматах булочек, особенностях домашнего отбеливания зубов и классных гладких укладках (с картинками!)

🌟 Чем пахнет хлеб. Отвечают сотрудники московских пекарен

🌟 Сейчас сезон! 10 полезных и красивых вещиц с инжиром

🌟 Мифы и правда о домашнем отбеливании зубов. Мнение стоматолога

🌟 Выбор стилистов: 4 гладкие прически на каждый день

🌟 Чем пахнет у тебя дома. Заходим в гости к редакторам

🌟 Не бьюти! 5 культовых брендов из Золотого Яблока

🌟 Запах дождя и библиотеки. Сотрудники Золотого Яблока — о любимых осенних ароматах

🌟 5 визажистов, работы которых вас вдохновят

🌟 «Права на ошибку нет». Балерина — о себе, театре и даже татуировках",98607,62,89,"{""ReactionEmoji(emoticon='❤')"": 582, 'ReactionCustomEmoji(document_id=5294214784856649592)': 322, ""ReactionEmoji(emoticon='⚡')"": 145, ""ReactionEmoji(emoticon='👍')"": 70, ""ReactionEmoji(emoticon='🔥')"": 26, ""ReactionEmoji(emoticon='😍')"": 25, ""ReactionEmoji(emoticon='😇')"": 24, ""ReactionEmoji(emoticon='😁')"": 19}"
20964,2025-09-14 16:40:32+00:00,,69137,170,0,{}
